Bio,Current_Title,Conferences,Affiliation,Education,Name
,Associate Professor,"IUI
(14),Intelligence
(5),CHI Extended Abstracts
(3),AAAI
(2),CHI
(2),Agents
(2)",919-515-7938,,Robert St. Amant
,,"RuleML
(5),International Semantic Web Conference
(2),AI Magazine
(2),KDD Workshop
(2),ML
(2),AMT
(1)",,,C. J. Matheus
,,"IEEE Expert
(5),Autom. Softw. Eng.
(4),Commun. ACM
(2),Intelligence
(2),KBSE
(2),ICSE
(2)",,,P. G. Selfridge
"ACM Distinguished Scientist (2009 - ),ACM SIGCHI Vice President for Membership and Communications (2009 - 2012),Co-chair, 2002 Conference on Human Factors in Computing Systems (CHI 2002),I currently carry out research in two major areas:,Theory-based design of online communities: applying theories from the social sciences to create new interaction techniques and algorithms that elicit more positive participation from community members.,Geographically-based online communities: creating novel open content systems to support geographically-based communities of interest; Cyclopath is our routing and wiki-map system for bicyclists.",Associate Professor,"CHI
(14),CSCW
(11),CHI Extended Abstracts
(6),Int. Sym. Wikis
(6),GROUP
(5),ACM Trans. Comput.-Hum. Interact.
(4)","Department of Computer Science and Engineering,
University of Minnesota","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of South Dakota</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Texas</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Texas</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>",Loren G. Terveen
,,"Int. J. Cooperative Inf. Syst.
(1)",,,Boris Altman
,,"Int. J. Cooperative Inf. Syst.
(1)",,,Fern Halper
,,"SIGART Bulletin
(1),IJCAI
(1),Int. J. Cooperative Inf. Syst.
(1),FGCS
(1),SIGMOD Conference
(1)",,,Lori Alperin Resnick
,,,,,A. Borgida
,/2.0.52,"ACM Southeast Regional Conference
(1),Intelligence
(1),J. Intell. Inf. Syst.
(1),Int. J. Cooperative Inf. Syst.
(1)",,,Kirk Thomas
,,"Int. J. Cooperative Inf. Syst.
(1)",,,Alan Lazar
